date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:26:55	63542/63542	---M-Z	200	added ('OK')	text/html	etag:%22f836-60e0a7fbfc500-gzip%22	https://devhostco.xyz/madifax/index.html	C:/Users/SistanaLaptop/Desktop/moshaver/devhostco.xyz/madifax/index.html	(from )
18:26:56	245/245	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Apr%202024%2014:56:58%20GMT	https://devhostco.xyz/robots.txt		(from )
18:26:56	5280/5280	---M--	200	added ('OK')	image/png	etag:%2265897a1c-14a0%22	https://devhostco.xyz/madifax/images/favicone.png	C:/Users/SistanaLaptop/Desktop/moshaver/devhostco.xyz/madifax/images/favicone.png	(from https://devhostco.xyz/madifax/index.html)
18:26:56	81056/81056	---MCZ	200	added ('OK')	text/css	etag:W/%22658be696-13ca0%22	https://devhostco.xyz/madifax/css/all.min.css	C:/Users/SistanaLaptop/Desktop/moshaver/devhostco.xyz/madifax/css/all.min.css	(from https://devhostco.xyz/madifax/index.html)
18:26:56	216592/216592	---MCZ	200	added ('OK')	text/css	etag:W/%22658f0587-34e10%22	https://devhostco.xyz/madifax/css/bootstrap.min.css	C:/Users/SistanaLaptop/Desktop/moshaver/devhostco.xyz/madifax/css/bootstrap.min.css	(from https://devhostco.xyz/madifax/index.html)
18:26:57	25628/25628	---MCZ	200	added ('OK')	text/css	etag:W/%2265897a1a-641c%22	https://devhostco.xyz/madifax/css/venobox.min.css	C:/Users/SistanaLaptop/Desktop/moshaver/devhostco.xyz/madifax/css/venobox.min.css	(from https://devhostco.xyz/madifax/index.html)
18:26:57	141076/141076	---MCZ	200	added ('OK')	text/css	etag:W/%2265897a1a-22714%22	https://devhostco.xyz/madifax/css/custom_spacing.css	C:/Users/SistanaLaptop/Desktop/moshaver/devhostco.xyz/madifax/css/custom_spacing.css	(from https://devhostco.xyz/madifax/index.html)
18:26:57	19253/19253	---MCZ	200	added ('OK')	text/css	etag:W/%2265944a53-4b35%22	https://devhostco.xyz/madifax/css/select2.min.css	C:/Users/SistanaLaptop/Desktop/moshaver/devhostco.xyz/madifax/css/select2.min.css	(from https://devhostco.xyz/madifax/index.html)
18:26:57	1895/1895	---MCZ	200	added ('OK')	text/css	etag:W/%2265897a1a-767%22	https://devhostco.xyz/madifax/css/slick.css	C:/Users/SistanaLaptop/Desktop/moshaver/devhostco.xyz/madifax/css/slick.css	(from https://devhostco.xyz/madifax/index.html)
18:26:58	59839/59839	---MCZ	200	added ('OK')	text/css	etag:W/%2265897a18-e9bf%22	https://devhostco.xyz/madifax/css/animate.css	C:/Users/SistanaLaptop/Desktop/moshaver/devhostco.xyz/madifax/css/animate.css	(from https://devhostco.xyz/madifax/index.html)
18:26:58	146768/146768	---MCZ	200	added ('OK')	text/css	etag:W/%226595c97c-23d50%22	https://devhostco.xyz/madifax/css/style.css	C:/Users/SistanaLaptop/Desktop/moshaver/devhostco.xyz/madifax/css/style.css	(from https://devhostco.xyz/madifax/index.html)
